bookid;name;author;genre;lang;rating1;rating2;rating3;rating4;rating5
3412;The Thorn Birds;Colleen McCullough;Fiction;English;2989;9394;43624;88848;133544
3437;The Curious Incident of the Dog in the Night-Time;Mark Haddon;Fiction;English;22049;60672;228631;374618;278968
3480;White Swan, Black Swan;Adrienne Sharp;Unknown;English;7;28;92;88;53
3559;From Beirut to Jerusalem;Thomas L. Friedman;History;English;85;292;1521;3817;3294
3562;Emily of New Moon (Emily #1);L.M. Montgomery;Classics;English;495;1447;7364;12536;15167
3565;Emily's Quest (Emily #3);L.M. Montgomery;Classics;English;130;594;2853;5066;6023
3569;Emily Climbs (Emily #2);L.M. Montgomery;Classics;English;174;556;3362;6368;7456
3590;The Adventures of Sherlock Holmes (The Adventures of Sherlock Holmes #1-12);Arthur Conan Doyle;Classics;English;984;3240;26473;72902;95632
3623;Love: A User's Guide;Clare Naylor;Womens Fiction;English;63;129;265;193;133
3644;Drina Dances in Switzerland (Drina #9);Jean Estoril;Unknown;English;3;12;39;48;70
3645;Drina Dances in Paris (Drina #7);Jean Estoril;Childrens;English;2;5;33;53;69
3646;Invisible Engines: How Software Platforms Drive Innovation and Transform Industries;David S. Evans;Business;English;0;2;20;20;9
3648;The Emperor's Children;Claire Messud;Fiction;English;2019;4201;6333;4235;1448
3677;Where Angels Fear to Tread;E.M. Forster;Fiction;English;188;902;3685;3830;1989
3679;On Beauty;Zadie Smith;Fiction;English;1419;4591;14528;21029;11952
3685;Black Beauty;Anna Sewell;Classics;English;3817;12145;49066;65349;74253
3711;White Teeth;Zadie Smith;Fiction;English;2795;7814;24481;37286;24807
3741;Harriet The Spy (Harriet the Spy #1);Louise Fitzhugh;Childrens;English;2695;4968;19035;26746;33073
3750;Moonraker (James Bond (Original Series) #3);Ian Fleming;Fiction;English;101;976;5359;6294;3109
3757;Doctor No (James Bond (Original Series) #6);Ian Fleming;Fiction;English;125;808;4484;5926;3098
3758;Casino Royale (James Bond (Original Series) #1);Ian Fleming;Fiction;English;807;3392;15397;19560;11248
3759;Goldfinger (James Bond (Original Series) #7);Ian Fleming;Fiction;English;161;861;4799;6601;3875
3760;Diamonds Are Forever (James Bond (Original Series) #4);Ian Fleming;Fiction;English;117;1031;5056;4950;2132
3761;You Only Live Twice (James Bond (Original Series) #12);Ian Fleming;Fiction;English;103;621;3219;3807;2257
3762;On Her Majesty's Secret Service (James Bond (Original Series) #11);Ian Fleming;Fiction;English;123;587;3594;5724;4399
3763;Live and Let Die (James Bond (Original Series) #2);Ian Fleming;Fiction;English;242;1441;6720;7267;3267
3764;From Russia With Love (James Bond (Original Series) #5);Ian Fleming;Fiction;English;277;1098;6271;9301;6648
3774;The Subterraneans (Duluoz Legend);Jack Kerouac;Fiction;English;205;1019;3823;4335;2645
3776;Ballet Shoes (Shoes #1);Noel Streatfeild;Childrens;English;557;1236;5848;9877;11818
3780;Ballet Shoes for Anna;Noel Streatfeild;Childrens;English;10;63;213;254;221
3782;Theater Shoes (Shoes #4);Noel Streatfeild;Childrens;English;65;202;990;1506;1669
3784;Movie Shoes (Shoes #6);Noel Streatfeild;Childrens;English;32;60;302;500;528
3788;Thursday's Child (Margaret Thursday #1);Noel Streatfeild;Childrens;English;9;40;279;409;356
3791;Thursday's Children;Rumer Godden;Fiction;English;4;10;67;142;209
3796;The Greengage Summer;Rumer Godden;Fiction;English;5;43;276;589;386
3836;Don Quixote (Don Quijote de la Mancha #1-2);Miguel de Cervantes Saavedra;Classics;English;4856;12945;40040;53667;56621
3867;The History of Love;Nicole Krauss;Fiction;English;2326;7722;23790;37568;36982
3876;The Sun Also Rises (Fiesta);Ernest Hemingway;Classics;English;10022;24953;73442;110703;98092
3900;Into a Paris Quartier: Reine Margot's Chapel and Other Haunts of St. Germain;Diane Johnson;Cultural;English;5;34;77;80;37
3973;Ilium (Ilium #1);Dan Simmons;Fantasy;English;385;1095;4144;8813;7871
3977;Endymion (Hyperion Cantos #3);Dan Simmons;Science Fiction;English;290;1280;5975;14105;14927
3980;From the Mixed-Up Files of Mrs. Basil E. Frankweiler;E.L. Konigsburg;Fiction;English;2086;5535;26382;52326;66565
4009;Nine Stories;J.D. Salinger;Short Stories;English;1450;3702;19154;42832;53748
4069;Man's Search for Meaning;Viktor E. Frankl;Nonfiction;English;2627;5634;26750;69183;122953
4099;The Pragmatic Programmer: From Journeyman to Master;Andy Hunt;Computer Science;English;72;255;1370;4184;5670
4137;Me Talk Pretty One Day;David Sedaris;Nonfiction;English;20526;30237;97406;185660;204513
4197;Siddhartha;Hermann Hesse;Fiction;English;10849;27022;89101;149305;174534
4214;Life of Pi;Yann Martel;Fantasy;English;40471;75951;224680;395962;372051
4248;The Da Vinci Code (Robert Langdon #2);Dan Brown;Mystery;English;72536;129260;351578;563236;507899
4264;Fever Pitch;Nick Hornby;Fiction;English;821;2313;8351;10769;7252
4271;About a Boy;Nick Hornby;Fiction;English;1153;5767;32983;50737;24218
4337;The Zanzibar Chest;Aidan Hartley;Cultural;English;37;116;447;784;812
4380;Fahrenheit 451;Ray Bradbury;Science Fiction;English;29895;68090;252603;455871;451232
4395;The Grapes of Wrath;John Steinbeck;Classics;English;24910;42570;109584;185310;230546
4406;East of Eden;John Steinbeck;Classics;English;4337;9785;40702;101567;199338
4422;A Confederacy of Dunces;John Kennedy Toole;Fiction;English;11479;15873;33123;57270;77779
4473;A Prayer for Owen Meany;John Irving;Fiction;English;4827;10067;34801;79035;127165
4486;Bridget Jones's Diary (Bridget Jones #1);Helen Fielding;Womens Fiction;English;30538;61577;206560;266841;226704
4514;The Ruby Way: Solutions and Techniques in Ruby Programming (Addison-Wesley Professional Ruby Series);Hal Fulton;Computer Science;English;3;12;76;142;77
4600;Moo, Baa, La La La!;Sandra Boynton;Childrens;English;447;1222;5021;7676;14266
4610;Catch-22 (Catch-22 #1);Joseph Heller;Classics;English;22130;40337;112449;197949;246198
4623;Does Anything Eat Wasps?: And 101 Other Unsettling, Witty Answers to Questions You Never Thought You Wanted to Ask (New Scientist Last Word #3);New Scientist;Nonfiction;English;17;107;484;395;167
4627;For Whom The Bell Tolls;Ernest Hemingway;Classics;English;4785;12261;45036;79221;74934
4645;The Snows of Kilimanjaro and Other Stories;Ernest Hemingway;Fiction;English;417;1641;7069;11354;8178
4648;Death in the Afternoon;Ernest Hemingway;Classics;English;135;512;1978;2429;1482
4671;The Great Gatsby;F. Scott Fitzgerald;Classics;English;92614;210218;650904;1013730;1045621
4687;The Cider House Rules;John Irving;Fiction;English;1294;4443;24381;57391;52291
4739;Souvenir of Canada (Souvenir of Canada #1);Douglas Coupland;Nonfiction;English;10;43;242;323;231
4813;1421: The Year China Discovered America;Gavin Menzies;History;English;824;1135;2944;3741;2911
4865;How to Win Friends and Influence People;Dale Carnegie;Nonfiction;English;8000;15781;57567;110315;168725
4866;How to Stop Worrying and Start Living;Dale Carnegie;Self Help;English;1367;2458;10373;18514;24913
4902;Heart of Darkness;Joseph Conrad;Classics;English;27446;46324;91335;95926;72467
4916;Angela's Ashes (Frank McCourt #1);Frank McCourt;Nonfiction;English;8404;19402;77482;165281;178600
4929;Kafka on the Shore;Haruki Murakami;Fiction;English;2867;8325;33811;83333;87698
4934;The Brothers Karamazov;Fyodor Dostoyevsky;Cultural;English;2415;6165;23773;54265;102140
4948;The Very Hungry Caterpillar;Eric Carle;Unknown;English;6698;12288;46204;77968;184709
4952;What Is the What;Dave Eggers;Autobiography;English;695;2168;10229;26598;27392
4953;A Heartbreaking Work of Staggering Genius;Dave Eggers;Unknown;English;8176;15882;36234;51606;42725
4981;Slaughterhouse-Five;Kurt Vonnegut;Fiction;English;25900;47706;160370;318686;392596
4989;The Red Tent;Anita Diamant;Historical;English;9673;20009;69431;150177;212831
5043;The Pillars of the Earth (Kingsbridge #1);Ken Follett;Historical;English;9994;17891;61105;157574;284704
5064;World Without End (Kingsbridge #2);Ken Follett;Historical;English;1285;4462;21672;57162;72829
5084;My Life in France;Julia Child;Autobiography;English;715;1915;10992;27863;28545
5102;The Handmaid's Tale;Margaret Atwood;Fiction;English;16443;38394;138942;307582;330531
5107;The Catcher in the Rye;J.D. Salinger;Classics;English;115897;196423;482445;702683;762940
5129;Brave New World;Aldous Huxley;Classics;English;28055;64080;233450;417037;413777
5137;The Flame Trees of Thika: Memories of an African Childhood (Elspeth Huxley's Childhood Memoirs #1);Elspeth Huxley;Cultural;English;48;154;827;1785;1798
5148;A Separate Peace;John Knowles;Classics;English;8773;19104;47068;55390;37918
5177;Ellen Foster;Kaye Gibbons;Fiction;English;477;1824;7210;9753;6171
5183;Reading Oprah: How Oprah's Book Club Changed the Way America Reads;Cecilia Konchar Farr;Unknown;English;1;0;8;8;5
5186;Breath, Eyes, Memory;Edwidge Danticat;Unknown;English;332;1384;6217;9222;6805
5219;The Bluest Eye;Toni Morrison;Fiction;English;2498;6320;25882;48302;45106
5296;An Ideal Husband;Oscar Wilde;Classics;English;284;1087;6912;13320;11099
5297;The Picture of Dorian Gray;Oscar Wilde;Classics;English;10813;33318;139528;269143;284295
5326;A Christmas Carol;Charles Dickens;Classics;English;7562;23118;101155;168587;185379
5358;The Firm;John Grisham;Fiction;English;5378;21420;118603;204762;173849
5427;Orientalism;Edward W. Said;Nonfiction;English;215;575;2075;5070;4912
5439;Interpreter of Maladies;Jhumpa Lahiri;Short Stories;English;930;4264;23052;54559;51734
5470;1984;George Orwell;Classics;English;46016;93366;350144;757988;1025042
5507;The Diary of Anne Frank;Anne Frank;History;English;49628;96715;376494;703891;962327
5526;Dear John;Nicholas Sparks;Romance;English;10127;26170;98574;152216;190671
5527;All the King's Men;Robert Penn Warren;Fiction;English;865;2266;8664;17129;19667
5544;Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character;Richard Feynman;Science;English;2570;3192;12438;34405;57880
5548;What Do You Care What Other People Think?;Richard Feynman;Science;English;134;334;2362;6580;8308
5558;iWoz;Steve Wozniak;Biography;English;337;749;2768;3983;3367
5559;Jack: Straight from the Gut;Jack Welch;Biography;English;408;812;2944;4364;3410
5579;Eat, Drink, and Be Healthy: The Harvard Medical School Guide to Healthy Eating;Walter C. Willett;Health;English;16;50;231;505;445
5592;From Counterculture to Cyberculture: Stewart Brand, the Whole Earth Network, and the Rise of Digital Utopianism;Fred Turner;Nonfiction;English;5;20;74;135;118
5659;The Wind in the Willows;Kenneth Grahame;Classics;English;3007;7784;33292;51168;55136
